Make,Model,Year,Mileage,Price,Condition,Dealer,Image Link
Mahindra,KUV 100 NXT,2020,85787,92900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/3EE403138/Ext360/3EE40313836000.webp
Hyundai,Tucson,2024,3935,597900,Vehicle is better than average,Polokwane (L),https://photos.webuycars.co.za/photobooth/424309153/Ext360/42430915336000.webp
Toyota,Agya,2022,35000,149900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/426312065/Ext360/42631206536000.webp
Suzuki,Ignis,2020,35000,181900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/69AB14492/Ext360/69AB1449236000.webp
Mahindra,KUV 100 NXT,2019,93000,87900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/769714890/Ext360/76971489036000.webp
Fiat,500,2014,85473,98900,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/7F4212259/Ext360/7F421225936000.webp
Hyundai,i10,2016,88745,82900,Shows signs of excessive wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/9B6110425/Ext360/9B611042536000.webp
Honda,WR-V,2023,8287,229900,Vehicle is better than average,Mbombela (MP),https://photos.webuycars.co.za/photobooth/9C0707647/Ext360/9C070764736000.webp
Peugeot,107,2014,84000,70900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/ADE600204/Ext360/ADE60020436000.webp
Toyota,Etios,2019,33000,162900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/B6B911695/Ext360/B6B91169536000.webp
Suzuki,Dzire,2023,8000,217900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/B7E710946/Ext360/B7E71094636000.webp
Suzuki,Swift,2022,35204,181900,Vehicle is better than average,Germiston (GP),https://photos.webuycars.co.za/photobooth/BAD212304/Ext360/BAD21230436000.webp
Suzuki,Ignis,2023,7564,216900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/D8F101103/Ext360/D8F10110336000.webp
Chery,Tiggo 4 Pro,2024,4067,344900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/DEED01295/Ext360/DEED0129536000.webp
JMC,Landwind,2017,84809,90900,Shows signs of excessive wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/E22709387/Ext360/E2270938736000.webp
Renault,Kwid,2022,33051,152900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/EFD701315/Ext360/EFD70131536000.webp
