Make,Model,Year,Mileage,Price,Condition,Dealer,Image Link
Nissan,NP200,2018,155000,125900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/2B2010610/Ext360/2B201061036000.webp
Toyota,Hilux,2022,38000,289900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/39D610260/Ext360/39D61026036000.webp
Toyota,Yaris,2007,242000,N/A,Shows signs of sever abuse,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/47CF12876/Ext360/47CF1287636000.webp
Land Rover,Range Rover Evoque,2018,103831,386900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/4C1203715/Ext360/4C120371536000.webp
JAC,T8,2022,36267,295900,Normal wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/609600535/Ext360/60960053536000.webp
KIA,K 2700,2022,38000,279900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/61CB04092/Ext360/61CB0409236000.webp
Ford,Ranger,2016,148431,150900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/6E0409251/Ext360/6E040925136000.webp
Volvo,XC 90,2011,243729,N/A,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/75C412136/Ext360/75C41213636000.webp
Chevrolet,Utility,2015,153305,133900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/7B4D12210/Ext360/7B4D1221036000.webp
BMW,3 Series,2014,240657,N/A,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/814413094/Ext360/81441309436000.webp
Nissan,X Trail,2015,243000,N/A,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/8D2F00256/Ext360/8D2F0025636000.webp
Nissan,NP200,2020,140000,139900,Vehicle is better than average,Springfield (KZN),https://photos.webuycars.co.za/photobooth/92F714085/Ext360/92F71408536000.webp
Honda,CR-V,2009,241000,N/A,Shows signs of sever abuse,Springfield (KZN),https://photos.webuycars.co.za/photobooth/AEE111124/Ext360/AEE11112436000.webp
Ford,Ranger,2018,36000,274900,Vehicle is better than average,George (WC),https://photos.webuycars.co.za/photobooth/B28D04925/Ext360/B28D0492536000.webp
Land Rover,Discovery Sport,2018,103987,424900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/B2F607460/Ext360/B2F60746036000.webp
Hyundai,H100,2023,34288,283900,Vehicle is better than average,Springfield (KZN),https://photos.webuycars.co.za/photobooth/BA9109886/Ext360/BA910988636000.webp
Toyota,Hilux,2020,103810,484900,Normal wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/BAC811766/Ext360/BAC81176636000.webp
Mercedes-Benz,A Class,2008,243427,N/A,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/E32110384/Ext360/E3211038436000.webp
Nissan,NP200,2024,41312,204900,Normal wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/ECA509919/Ext360/ECA50991936000.webp
Mahindra,PIK UP,2022,36000,236900,Vehicle is better than average,Germiston (GP),https://photos.webuycars.co.za/photobooth/F06815109/Ext360/F0681510936000.webp
Land Rover,Range Rover,2015,103921,481900,Vehicle is better than average,JHB South (GP),https://photos.webuycars.co.za/photobooth/F98E05812/Ext360/F98E0581236000.webp
BMW,7 Series,2016,104000,465900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/10B703108/Ext360/10B70310836000.webp
KIA,K 2700,2021,47000,250900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/115409966/Ext360/11540996636000.webp
Mahindra,Scorpio,2020,50000,274900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/249413561/Ext360/24941356136000.webp
Nissan,Hardbody,2017,162834,147900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/290014474/Ext360/29001447436000.webp
BMW,X3,2018,104000,465900,Shows signs of excessive wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/2D8704450/Ext360/2D870445036000.webp
Mercedes-Benz,C Class Sedan,2008,247557,N/A,Shows signs of sever abuse,Midstream (GP),https://photos.webuycars.co.za/photobooth/434B06997/Ext360/434B0699736000.webp
Porsche,Cayenne,2015,104000,642900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/55C208358/Ext360/55C20835836000.webp
BMW,3 Series,2011,252500,N/A,Shows signs of sever abuse,Dome (GP),https://photos.webuycars.co.za/photobooth/5D1307297/Ext360/5D130729736000.webp
Ford,Ranger,2015,160000,142900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/638509043/Ext360/63850904336000.webp
Nissan,Hardbody,2017,157000,154900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/659904937/Ext360/65990493736000.webp
Hyundai,Terracan,2005,249000,N/A,Shows signs of excessive wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/691A11602/Ext360/691A1160236000.webp
Mahindra,Scorpio,2015,166580,104900,Shows signs of excessive wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/19D906242/Ext360/19D90624236000.webp
Ford,Ranger,2018,70000,253900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/1B7401370/Ext360/1B740137036000.webp
Toyota,Fortuner,2018,104678,384900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/24CE08471/Ext360/24CE0847136000.webp
Land Rover,Defender 110,2021,105000,921900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/24E903016/Ext360/24E90301636000.webp
Volkswagen,Polo,2008,254000,N/A,Shows signs of sever abuse,Richmond (WC),https://photos.webuycars.co.za/photobooth/288812736/Ext360/28881273636000.webp
Audi,A6,2011,253000,N/A,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/3F8A12038/Ext360/3F8A1203836000.webp
Mercedes-Benz,Vito,2021,104500,498900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/5DD908577/Ext360/5DD90857736000.webp
Toyota,Fortuner,2021,104879,439900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/6BC010552/Ext360/6BC01055236000.webp
Mahindra,PIK UP,2021,58000,219900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/857D01032/Ext360/857D0103236000.webp
Volkswagen,Polo Vivo,2012,254000,N/A,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/8B1B12342/Ext360/8B1B1234236000.webp
Isuzu,D-MAX,2021,69094,259900,Normal wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/91C303078/Ext360/91C30307836000.webp
Mahindra,PIK UP,2022,61992,197900,Shows signs of excessive wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/981A12443/Ext360/981A1244336000.webp
BMW,X3,2006,256000,N/A,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/9FE412689/Ext360/9FE41268936000.webp
Toyota,Hilux,2020,71400,262900,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/A18F00922/Ext360/A18F0092236000.webp
Nissan,NP200,2019,164893,137900,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/B0C309152/Ext360/B0C30915236000.webp
Land Rover,Discovery,2019,105000,572900,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/125712509/Ext360/12571250936000.webp
Volvo,S40,2010,262000,N/A,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/106F11236/Ext360/106F1123636000.webp
Ford,Ranger,2018,83000,299900,Vehicle is better than average,Mbombela (MP),https://photos.webuycars.co.za/photobooth/1B0203703/Ext360/1B020370336000.webp
Ford,Figo,2014,267000,N/A,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/310F11668/Ext360/310F1166836000.webp
BMW,3 Series,2019,105000,384900,Shows signs of excessive wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/40DF12334/Ext360/40DF1233436000.webp
Ford,Ranger,2019,189999,158900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/425C09733/Ext360/425C0973336000.webp
KIA,K 2700,2023,79000,273900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/467C11157/Ext360/467C1115736000.webp
Nissan,Navara,2022,83771,247900,Vehicle is better than average,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/4F4C14998/Ext360/4F4C1499836000.webp
Ford,Ranger,2016,84000,302900,Normal wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/636E10035/Ext360/636E1003536000.webp
Volvo,C30,2011,263000,N/A,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/66F913348/Ext360/66F91334836000.webp
Ford,Ranger,2017,198000,174900,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/6F8104701/Ext360/6F810470136000.webp
Nissan,Hardbody,2018,200835,161900,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/77C511527/Ext360/77C51152736000.webp
Toyota,Hilux,2017,85500,262900,Normal wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/77EF11609/Ext360/77EF1160936000.webp
Ford,Ranger,2016,191473,168900,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/816813853/Ext360/81681385336000.webp
JAC,T8,2023,82000,269900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/983803702/Ext360/98380370236000.webp
Toyota,Fortuner,2018,105110,397900,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/A8A801856/Ext360/A8A80185636000.webp
Ford,Transit,2015,264191,N/A,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/AFF105271/Ext360/AFF10527136000.webp
Mazda,BT 50 Series,2013,85000,237900,Normal wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/BFB501656/Ext360/BFB50165636000.webp
Isuzu,KB,2017,197500,173900,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/BFD406176/Ext360/BFD40617636000.webp
Mercedes-Benz,GLC,2016,105000,399900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/C1CD07514/Ext360/C1CD0751436000.webp
Toyota,Quantum,2019,105148,489900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/E4EC03410/Ext360/E4EC0341036000.webp
Toyota,Camry,2001,262439,N/A,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/E55E11457/Ext360/E55E1145736000.webp
Hyundai,H100,2018,198197,128900,Shows signs of excessive wear and tear,Springfield (KZN),https://photos.webuycars.co.za/photobooth/ED8B01717/Ext360/ED8B0171736000.webp
Mahindra,PIK UP,2019,194000,173900,Shows signs of excessive wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/FC6F13787/Ext360/FC6F1378736000.webp
Subaru,Outback,2003,267000,N/A,Shows signs of sever abuse,East London (EC),https://photos.webuycars.co.za/photobooth/FF6F12885/Ext360/FF6F1288536000.webp
GWM,P Series,2022,86000,231900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/08E001122/Ext360/08E00112236000.webp
Ford,Ranger,2015,246000,145900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/18B810501/Ext360/18B81050136000.webp
Hyundai,Terracan,2005,273000,N/A,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/2FED10916/Ext360/2FED1091636000.webp
Ford,Ranger,2018,239000,169900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/3EE006802/Ext360/3EE00680236000.webp
Nissan,Navara,2022,95300,231900,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/429B02211/Ext360/429B0221136000.webp
Ford,Ranger,2018,224543,163900,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/4DBA11485/Ext360/4DBA1148536000.webp
Ford,Ranger,2003,203000,104900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/51D606886/Ext360/51D60688636000.webp
Mitsubishi,Triton,2014,211891,137900,Shows signs of excessive wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/572607119/Ext360/57260711936000.webp
KIA,K 2700,2021,100000,221900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/577A01550/Ext360/577A0155036000.webp
Nissan,Hardbody,2021,106666,215900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/5DCE04900/Ext360/5DCE0490036000.webp
Audi,Q3,2021,105476,429900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/653F11261/Ext360/653F1126136000.webp
GWM,P Series,2021,219939,177900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/69B608641/Ext360/69B60864136000.webp
Nissan,Hardbody,2021,106697,261900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/738108111/Ext360/73810811136000.webp
Audi,Q3,2021,105718,421900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/7F4714612/Ext360/7F471461236000.webp
Hyundai,Santa-FE,2019,105900,359900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/845615048/Ext360/84561504836000.webp
Ford,Ranger,2017,103321,295900,Vehicle is better than average,Springfield (KZN),https://photos.webuycars.co.za/photobooth/8D9403675/Ext360/8D940367536000.webp
Ford,Ranger,2006,211000,121900,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/9FE108338/Ext360/9FE10833836000.webp
Toyota,Yaris,2008,270000,N/A,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/BA5210221/Ext360/BA521022136000.webp
Volkswagen,Golf 6,2011,273000,N/A,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/BC8011746/Ext360/BC801174636000.webp
BMW,3 Series,2005,271000,N/A,Shows signs of excessive wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/DC8A11010/Ext360/DC8A1101036000.webp
Honda,CR-V,2008,270000,N/A,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/DFEF12786/Ext360/DFEF1278636000.webp
Mercedes-Benz,GLE,2017,105203,874900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/E2DB04551/Ext360/E2DB0455136000.webp
Subaru,Forester,2008,268000,N/A,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/E34A11147/Ext360/E34A1114736000.webp
GWM,P Series,2022,109000,241900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/E8F305634/Ext360/E8F30563436000.webp
Mercedes-Benz,C Class Sedan,2011,271708,N/A,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/F8A309666/Ext360/F8A30966636000.webp
Nissan,Navara,2021,111000,241900,Normal wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/055609032/Ext360/05560903236000.webp
Nissan,NP200,2017,91713,115900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/06B807904/Ext360/06B80790436000.webp
Suzuki,Ertiga,2015,279000,N/A,Shows signs of sever abuse,Dome (GP),https://photos.webuycars.co.za/photobooth/0B0312565/Ext360/0B031256536000.webp
Audi,Q5,2011,276000,N/A,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/276712674/Ext360/27671267436000.webp
Ford,Ranger,2019,114000,270900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/2F2D15894/Ext360/2F2D1589436000.webp
Isuzu,KB,2012,113000,134900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/35C912719/Ext360/35C91271936000.webp
Volkswagen,Citi,2007,278000,N/A,Shows signs of sever abuse,JHB South (GP),https://photos.webuycars.co.za/photobooth/3D8C12849/Ext360/3D8C1284936000.webp
Ford,Ranger,2019,120000,295900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/44C806554/Ext360/44C80655436000.webp
Land Rover,Range Rover,2017,105900,572900,Normal wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/4F4707478/Ext360/4F470747836000.webp
Nissan,Pathfinder,2009,277000,N/A,Shows signs of sever abuse,Richmond (WC),https://photos.webuycars.co.za/photobooth/610D03210/Ext360/610D0321036000.webp
Opel,Corsa Utility,2005,57000,107900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/61E112093/Ext360/61E11209336000.webp
Nissan,Hardbody,2014,113000,99900,Shows signs of sever abuse,East London (EC),https://photos.webuycars.co.za/photobooth/8B2704927/Ext360/8B270492736000.webp
Hyundai,H100,2012,113900,124900,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/A76706892/Ext360/A7670689236000.webp
Audi,Q5,2018,106000,527900,Vehicle is better than average,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/AD1513198/Ext360/AD151319836000.webp
Mitsubishi,Triton,2015,120000,226900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/B3F808762/Ext360/B3F80876236000.webp
Land Rover,Discovery Sport,2019,106000,369900,Normal wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/BD2F02273/Ext360/BD2F0227336000.webp
Mahindra,Bolero,2019,82342,105900,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/C9D409627/Ext360/C9D40962736000.webp
Fiat,Fullback,2018,123522,298900,Normal wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/CAFD15924/Ext360/CAFD1592436000.webp
Audi,A3,2006,278000,N/A,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/CC5012830/Ext360/CC501283036000.webp
Volkswagen,Amarok,2013,263509,145900,Shows signs of excessive wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/D20512386/Ext360/D2051238636000.webp
Ford,Ranger,2016,110000,296900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/D3DA13002/Ext360/D3DA1300236000.webp
Toyota,Yaris,2012,277506,N/A,Shows signs of sever abuse,Springfield (KZN),https://photos.webuycars.co.za/photobooth/E86012707/Ext360/E8601270736000.webp
BMW,X1,2020,106000,364900,Normal wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/EB1605345/Ext360/EB160534536000.webp
Ford,Ranger,2018,118953,259900,Normal wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/FB5D09754/Ext360/FB5D0975436000.webp
Honda,Civic,2005,278306,N/A,Shows signs of excessive wear and tear,Germiston (GP),https://photos.webuycars.co.za/photobooth/FC4410315/Ext360/FC441031536000.webp
Ford,Ranger,2016,118000,122900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/0D1304882/Ext360/0D130488236000.webp
Mahindra,PIK UP,2019,127500,117900,Shows signs of excessive wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/195704343/Ext360/19570434336000.webp
Ford,Ranger,2012,128000,245900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/239C09310/Ext360/239C0931036000.webp
Toyota,Prado,2020,106078,886900,Vehicle is better than average,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/282C02703/Ext360/282C0270336000.webp
KIA,K 2500,2018,139000,140900,Shows signs of sever abuse,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/2B8C15368/Ext360/2B8C1536836000.webp
Mitsubishi,Pajero,2010,279000,N/A,Shows signs of excessive wear and tear,Gqeberha (EC),https://photos.webuycars.co.za/photobooth/2D0900356/Ext360/2D090035636000.webp
Ford,Ranger,2016,124500,274900,Shows signs of excessive wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/2D9205079/Ext360/2D920507936000.webp
Chevrolet,Utility,2013,117000,108900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/32D906782/Ext360/32D90678236000.webp
Audi,Q3,2020,106450,414900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/374B10615/Ext360/374B1061536000.webp
Toyota,Hilux,2004,132604,194900,Normal wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/4ACB00725/Ext360/4ACB0072536000.webp
KIA,K 2700,2016,136877,114900,Shows signs of sever abuse,Mbombela (MP),https://photos.webuycars.co.za/photobooth/64F412375/Ext360/64F41237536000.webp
Ford,Ranger,2016,134096,221900,Shows signs of excessive wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/6EC906981/Ext360/6EC90698136000.webp
Volkswagen,Amarok,2012,136000,124900,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/854409581/Ext360/85440958136000.webp
Nissan,Nv350,2015,288500,N/A,Shows signs of excessive wear and tear,Rustenburg (NW),https://photos.webuycars.co.za/photobooth/871A09823/Ext360/871A0982336000.webp
GWM,P Series,2021,130000,293900,Vehicle is better than average,Mbombela (MP),https://photos.webuycars.co.za/photobooth/8B8300581/Ext360/8B830058136000.webp
GWM,P Series,2021,132697,242900,Normal wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/A21C12642/Ext360/A21C1264236000.webp
Nissan,NP200,2014,128650,105900,Shows signs of excessive wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/B60501866/Ext360/B6050186636000.webp
Opel,Corsa,2005,283301,N/A,Shows signs of excessive wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/BB1511639/Ext360/BB151163936000.webp
Ford,Ranger,2018,126000,200900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/BE0800422/Ext360/BE080042236000.webp
Ford,Everest,2012,281000,N/A,Shows signs of excessive wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/C24D07788/Ext360/C24D0778836000.webp
Volkswagen,Golf 4,2002,280000,N/A,Shows signs of excessive wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/D9D811823/Ext360/D9D81182336000.webp
Volvo,Xc90,2017,106000,457900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/E5C514681/Ext360/E5C51468136000.webp
BMW,X3,2006,288000,N/A,Shows signs of excessive wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/E5DE06716/Ext360/E5DE0671636000.webp
Volkswagen,T5,2007,284000,N/A,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/EE5E06859/Ext360/EE5E0685936000.webp
Land Rover,Discovery,2018,106400,582900,Shows signs of excessive wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/F93508771/Ext360/F9350877136000.webp
Nissan,Hardbody,2018,149687,137900,Shows signs of excessive wear and tear,Polokwane (L),https://photos.webuycars.co.za/photobooth/101009863/Ext360/10100986336000.webp
Nissan,Hardbody,2017,140000,136900,Shows signs of excessive wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/22F300758/Ext360/22F30075836000.webp
Mercedes-Benz,C Class Sedan,2008,294715,N/A,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/377D12925/Ext360/377D1292536000.webp
Toyota,Corolla,2007,335000,N/A,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/0F1D12185/Ext360/0F1D1218536000.webp
Volkswagen,T6,2018,107217,853900,Vehicle is better than average,Midstream (GP),https://photos.webuycars.co.za/photobooth/3CC101001/Ext360/3CC10100136000.webp
Ford,Ranger,2018,140336,224900,Normal wear and tear,Midstream (GP),https://photos.webuycars.co.za/photobooth/47F611373/Ext360/47F61137336000.webp
Hyundai,Tucson,2008,290000,N/A,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/50B312218/Ext360/50B31221836000.webp
Isuzu,KB,2013,140000,165900,Shows signs of excessive wear and tear,George (WC),https://photos.webuycars.co.za/photobooth/515C04378/Ext360/515C0437836000.webp
Nissan,Hardbody,2020,150000,170900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/5B1E15910/Ext360/5B1E1591036000.webp
Nissan,Qashqai,2012,295617,N/A,Shows signs of sever abuse,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/69AD12822/Ext360/69AD1282236000.webp
Ford,Ranger,2017,148000,178900,Shows signs of sever abuse,East London (EC),https://photos.webuycars.co.za/photobooth/69D003335/Ext360/69D00333536000.webp
Ford,Ranger,2020,135000,298900,Normal wear and tear,East London (EC),https://photos.webuycars.co.za/photobooth/6D0905053/Ext360/6D090505336000.webp
Toyota,Hilux,2014,180000,136900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/90A711336/Ext360/90A71133636000.webp
Hyundai,H100,2021,140924,233900,Shows signs of excessive wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/6E5604814/Ext360/6E560481436000.webp
Ford,Ranger,2017,137000,258900,Shows signs of excessive wear and tear,Richmond (WC),https://photos.webuycars.co.za/photobooth/731102839/Ext360/73110283936000.webp
Mahindra,PIK UP,2021,139732,224900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/83EE14794/Ext360/83EE1479436000.webp
Land Rover,Discovery Sport,2019,107166,383900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/946511610/Ext360/94651161036000.webp
Chevrolet,Utility,2014,151000,125900,Normal wear and tear,Riverhorse (KZN),https://photos.webuycars.co.za/photobooth/948310490/Ext360/94831049036000.webp
Audi,A5,2011,290000,N/A,Shows signs of excessive wear and tear,Mbombela (MP),https://photos.webuycars.co.za/photobooth/97ED13184/Ext360/97ED1318436000.webp
Mercedes-Benz,E Class Sedan,2004,291000,N/A,Normal wear and tear,Epping (WC),https://photos.webuycars.co.za/photobooth/A37A09026/Ext360/A37A0902636000.webp
Toyota,Hilux,2014,138829,293900,Normal wear and tear,JHB South (GP),https://photos.webuycars.co.za/photobooth/A3B200069/Ext360/A3B20006936000.webp
Toyota,Fortuner,2021,107000,473900,Normal wear and tear,Brackenfell (WC),https://photos.webuycars.co.za/photobooth/C91F08292/Ext360/C91F0829236000.webp
Ford,Ranger,2017,138000,282900,Normal wear and tear,Silver Lakes (GP),https://photos.webuycars.co.za/photobooth/CD9F10999/Ext360/CD9F1099936000.webp
KIA,K 2700,2012,140000,108900,Normal wear and tear,Dome (GP),https://photos.webuycars.co.za/photobooth/CDAD08408/Ext360/CDAD0840836000.webp
Chevrolet,Aveo,2015,290183,N/A,Shows signs of sever abuse,Germiston (GP),https://photos.webuycars.co.za/photobooth/D5D912932/Ext360/D5D91293236000.webp
Mercedes-Benz,GLC,2020,107000,797900,Normal wear and tear,Pietermaritzburg (KZN),https://photos.webuycars.co.za/photobooth/E91705690/Ext360/E9170569036000.webp
